date,value,series_id,country,source,frequency,release_date,ingested_at
2003-01-01,16.8,m2,china,china_akshare,monthly,2003-01-01,2026-03-22 03:26:50.411482+00:00
2003-02-01,19.3,m2,china,china_akshare,monthly,2003-02-01,2026-03-22 03:26:50.411482+00:00
2003-03-01,18.1,m2,china,china_akshare,monthly,2003-03-01,2026-03-22 03:26:50.411482+00:00
2003-04-01,18.5,m2,china,china_akshare,monthly,2003-04-01,2026-03-22 03:26:50.411482+00:00
2003-05-01,19.2,m2,china,china_akshare,monthly,2003-05-01,2026-03-22 03:26:50.411482+00:00
2003-06-01,20.2,m2,china,china_akshare,monthly,2003-06-01,2026-03-22 03:26:50.411482+00:00
2003-07-01,20.8,m2,china,china_akshare,monthly,2003-07-01,2026-03-22 03:26:50.411482+00:00
2003-08-01,20.7,m2,china,china_akshare,monthly,2003-08-01,2026-03-22 03:26:50.411482+00:00
2003-09-01,21.6,m2,china,china_akshare,monthly,2003-09-01,2026-03-22 03:26:50.411482+00:00
2003-10-01,20.7,m2,china,china_akshare,monthly,2003-10-01,2026-03-22 03:26:50.411482+00:00
2003-11-01,21.0,m2,china,china_akshare,monthly,2003-11-01,2026-03-22 03:26:50.411482+00:00
2003-12-01,20.4,m2,china,china_akshare,monthly,2003-12-01,2026-03-22 03:26:50.411482+00:00
2004-01-01,19.6,m2,china,china_akshare,monthly,2004-01-01,2026-03-22 03:26:50.411482+00:00
2004-02-01,18.1,m2,china,china_akshare,monthly,2004-02-01,2026-03-22 03:26:50.411482+00:00
2004-03-01,19.4,m2,china,china_akshare,monthly,2004-03-01,2026-03-22 03:26:50.411482+00:00
2004-04-01,19.1,m2,china,china_akshare,monthly,2004-04-01,2026-03-22 03:26:50.411482+00:00
2004-05-01,19.1,m2,china,china_akshare,monthly,2004-05-01,2026-03-22 03:26:50.411482+00:00
2004-06-01,17.5,m2,china,china_akshare,monthly,2004-06-01,2026-03-22 03:26:50.411482+00:00
2004-07-01,16.2,m2,china,china_akshare,monthly,2004-07-01,2026-03-22 03:26:50.411482+00:00
2004-08-01,15.3,m2,china,china_akshare,monthly,2004-08-01,2026-03-22 03:26:50.411482+00:00
2004-09-01,13.6,m2,china,china_akshare,monthly,2004-09-01,2026-03-22 03:26:50.411482+00:00
2004-10-01,13.9,m2,china,china_akshare,monthly,2004-10-01,2026-03-22 03:26:50.411482+00:00
2004-11-01,13.4,m2,china,china_akshare,monthly,2004-11-01,2026-03-22 03:26:50.411482+00:00
2004-12-01,14.0,m2,china,china_akshare,monthly,2004-12-01,2026-03-22 03:26:50.411482+00:00
2005-01-01,14.6,m2,china,china_akshare,monthly,2005-01-01,2026-03-22 03:26:50.411482+00:00
2005-02-01,14.1,m2,china,china_akshare,monthly,2005-02-01,2026-03-22 03:26:50.411482+00:00
2005-03-01,13.9,m2,china,china_akshare,monthly,2005-03-01,2026-03-22 03:26:50.411482+00:00
2005-04-01,14.0,m2,china,china_akshare,monthly,2005-04-01,2026-03-22 03:26:50.411482+00:00
2005-05-01,14.1,m2,china,china_akshare,monthly,2005-05-01,2026-03-22 03:26:50.411482+00:00
2005-06-01,14.6,m2,china,china_akshare,monthly,2005-06-01,2026-03-22 03:26:50.411482+00:00
2005-07-01,15.7,m2,china,china_akshare,monthly,2005-07-01,2026-03-22 03:26:50.411482+00:00
2005-08-01,16.3,m2,china,china_akshare,monthly,2005-08-01,2026-03-22 03:26:50.411482+00:00
