as_of_mode,summary_date,date,countries_available,countries_missing,coverage_ratio,coverage_warning,configured_weights,effective_weights,global_growth_score,global_inflation_score,global_liquidity_score,global_valuation_score,global_regime,investment_clock,global_investment_clock,us_regime,us_latest_date,china_regime,china_latest_date,eurozone_regime,eurozone_latest_date,run_timestamp,selected_mode,schema_version
latest_available,2026-03-01,2026-03-01,"us,china,eurozone",,1.0,,"us:0.50,china:0.25,eurozone:0.25","us:0.50,china:0.25,eurozone:0.25",0.0836914739752812,-0.4907190821276378,0.3709196095321199,-0.1005645433353827,goldilocks,disinflationary_growth,disinflationary_growth,goldilocks,2026-02-01 00:00:00,slowdown,2026-03-01 00:00:00,goldilocks,2024-03-01 00:00:00,2026-03-19 16:49:14.703312,latest_available,as_of_mode|china_latest_date|china_regime|configured_weights|countries_available|countries_missing|coverage_ratio|coverage_warning|date|effective_weights|eurozone_latest_date|eurozone_regime|global_growth_score|global_inflation_score|global_investment_clock|global_liquidity_score|global_regime|global_valuation_score|investment_clock|run_timestamp|selected_mode|summary_date|us_latest_date|us_regime
last_common_date,,,,"us,china,eurozone",0.0,Global summary is based on incomplete country coverage.,"us:0.50,china:0.25,eurozone:0.25","us:0.00,china:0.00,eurozone:0.00",,,,,partial_view,partial_view,partial_view,,2026-02-01 00:00:00,,2026-03-01 00:00:00,,2024-03-01 00:00:00,2026-03-19 16:49:14.703312,last_common_date,as_of_mode|china_latest_date|china_regime|configured_weights|countries_available|countries_missing|coverage_ratio|coverage_warning|date|effective_weights|eurozone_latest_date|eurozone_regime|global_growth_score|global_inflation_score|global_investment_clock|global_liquidity_score|global_regime|global_valuation_score|investment_clock|run_timestamp|selected_mode|summary_date|us_latest_date|us_regime
latest_available,2026-03-01,2026-03-01,"us,china,eurozone",,1.0,,"us:0.50,china:0.25,eurozone:0.25","us:0.50,china:0.25,eurozone:0.25",0.0836914739752812,-0.4907190821276378,0.3709196095321199,-0.1005645433353827,goldilocks,disinflationary_growth,disinflationary_growth,goldilocks,2026-02-01 00:00:00,slowdown,2026-03-01 00:00:00,goldilocks,2024-03-01 00:00:00,2026-03-19 16:49:14.703492,latest_available,as_of_mode|china_latest_date|china_regime|configured_weights|countries_available|countries_missing|coverage_ratio|coverage_warning|date|effective_weights|eurozone_latest_date|eurozone_regime|global_growth_score|global_inflation_score|global_investment_clock|global_liquidity_score|global_regime|global_valuation_score|investment_clock|run_timestamp|selected_mode|summary_date|us_latest_date|us_regime
last_common_date,,,,"us,china,eurozone",0.0,Global summary is based on incomplete country coverage.,"us:0.50,china:0.25,eurozone:0.25","us:0.00,china:0.00,eurozone:0.00",,,,,partial_view,partial_view,partial_view,,2026-02-01 00:00:00,,2026-03-01 00:00:00,,2024-03-01 00:00:00,2026-03-19 16:49:14.703492,last_common_date,as_of_mode|china_latest_date|china_regime|configured_weights|countries_available|countries_missing|coverage_ratio|coverage_warning|date|effective_weights|eurozone_latest_date|eurozone_regime|global_growth_score|global_inflation_score|global_investment_clock|global_liquidity_score|global_regime|global_valuation_score|investment_clock|run_timestamp|selected_mode|summary_date|us_latest_date|us_regime
latest_available,2026-03-01,2026-03-01,"us,china,eurozone",,1.0,,"us:0.50,china:0.25,eurozone:0.25","us:0.50,china:0.25,eurozone:0.25",0.0836914739752812,-0.4907190821276378,0.3709196095321199,0.1384167375612099,goldilocks,disinflationary_growth,disinflationary_growth,goldilocks,2026-02-01 00:00:00,slowdown,2026-03-01 00:00:00,goldilocks,2024-03-01 00:00:00,2026-03-19 17:06:54.534064,latest_available,as_of_mode|china_latest_date|china_regime|configured_weights|countries_available|countries_missing|coverage_ratio|coverage_warning|date|effective_weights|eurozone_latest_date|eurozone_regime|global_growth_score|global_inflation_score|global_investment_clock|global_liquidity_score|global_regime|global_valuation_score|investment_clock|run_timestamp|selected_mode|summary_date|us_latest_date|us_regime
last_common_date,,,,"us,china,eurozone",0.0,Global summary is based on incomplete country coverage.,"us:0.50,china:0.25,eurozone:0.25","us:0.00,china:0.00,eurozone:0.00",,,,,partial_view,partial_view,partial_view,,2026-02-01 00:00:00,,2026-03-01 00:00:00,,2024-03-01 00:00:00,2026-03-19 17:06:54.534064,last_common_date,as_of_mode|china_latest_date|china_regime|configured_weights|countries_available|countries_missing|coverage_ratio|coverage_warning|date|effective_weights|eurozone_latest_date|eurozone_regime|global_growth_score|global_inflation_score|global_investment_clock|global_liquidity_score|global_regime|global_valuation_score|investment_clock|run_timestamp|selected_mode|summary_date|us_latest_date|us_regime
latest_available,2026-03-01,2026-03-01,"us,china,eurozone",,1.0,,"us:0.50,china:0.25,eurozone:0.25","us:0.50,china:0.25,eurozone:0.25",0.0836914739752812,-0.4907190821276378,0.3709196095321199,0.1384167375612099,goldilocks,disinflationary_growth,disinflationary_growth,goldilocks,2026-02-01 00:00:00,slowdown,2026-03-01 00:00:00,goldilocks,2024-03-01 00:00:00,2026-03-19 17:06:54.534493,latest_available,as_of_mode|china_latest_date|china_regime|configured_weights|countries_available|countries_missing|coverage_ratio|coverage_warning|date|effective_weights|eurozone_latest_date|eurozone_regime|global_growth_score|global_inflation_score|global_investment_clock|global_liquidity_score|global_regime|global_valuation_score|investment_clock|run_timestamp|selected_mode|summary_date|us_latest_date|us_regime
last_common_date,,,,"us,china,eurozone",0.0,Global summary is based on incomplete country coverage.,"us:0.50,china:0.25,eurozone:0.25","us:0.00,china:0.00,eurozone:0.00",,,,,partial_view,partial_view,partial_view,,2026-02-01 00:00:00,,2026-03-01 00:00:00,,2024-03-01 00:00:00,2026-03-19 17:06:54.534493,last_common_date,as_of_mode|china_latest_date|china_regime|configured_weights|countries_available|countries_missing|coverage_ratio|coverage_warning|date|effective_weights|eurozone_latest_date|eurozone_regime|global_growth_score|global_inflation_score|global_investment_clock|global_liquidity_score|global_regime|global_valuation_score|investment_clock|run_timestamp|selected_mode|summary_date|us_latest_date|us_regime
latest_available,2026-03-01,2026-03-01,"us,china,eurozone",,1.0,,"us:0.50,china:0.25,eurozone:0.25","us:0.50,china:0.25,eurozone:0.25",0.0836914739752812,-0.4907190821276378,0.3709196095321199,0.1738686204606331,goldilocks,disinflationary_growth,disinflationary_growth,goldilocks,2026-02-01 00:00:00,slowdown,2026-03-01 00:00:00,goldilocks,2024-03-01 00:00:00,2026-03-19 17:41:35.415893,latest_available,as_of_mode|china_latest_date|china_regime|configured_weights|countries_available|countries_missing|coverage_ratio|coverage_warning|date|effective_weights|eurozone_latest_date|eurozone_regime|global_growth_score|global_inflation_score|global_investment_clock|global_liquidity_score|global_regime|global_valuation_score|investment_clock|run_timestamp|selected_mode|summary_date|us_latest_date|us_regime
last_common_date,,,,"us,china,eurozone",0.0,Global summary is based on incomplete country coverage.,"us:0.50,china:0.25,eurozone:0.25","us:0.00,china:0.00,eurozone:0.00",,,,,partial_view,partial_view,partial_view,,2026-02-01 00:00:00,,2026-03-01 00:00:00,,2024-03-01 00:00:00,2026-03-19 17:41:35.415893,last_common_date,as_of_mode|china_latest_date|china_regime|configured_weights|countries_available|countries_missing|coverage_ratio|coverage_warning|date|effective_weights|eurozone_latest_date|eurozone_regime|global_growth_score|global_inflation_score|global_investment_clock|global_liquidity_score|global_regime|global_valuation_score|investment_clock|run_timestamp|selected_mode|summary_date|us_latest_date|us_regime
