date,country,growth_score,inflation_score,liquidity_score,regime_raw,regime,regime_confidence,regime_note,liquidity_regime
1957-02-01,china,,-0.9838445491006236,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1957-03-01,china,,-0.9688291037151145,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1957-04-01,china,,-0.9544808167338882,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1957-05-01,china,,-0.9407517030974847,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1957-06-01,china,,-0.9275984746006053,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1957-07-01,china,,-0.9149819648665704,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1957-08-01,china,,-0.9028666380886716,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1957-09-01,china,,-0.8912201674887162,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1957-10-01,china,,-0.8800130720937354,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1957-11-01,china,,-0.8692184025296358,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1957-12-01,china,,-0.2416104051064459,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1958-01-01,china,,-0.23987775332897304,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1958-02-01,china,,-0.2381818506916649,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1958-03-01,china,,-0.23652141622883352,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1958-04-01,china,,-0.23489523062659814,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1958-05-01,china,,-0.2333021324595693,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1958-06-01,china,,-0.23174101470454653,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1958-07-01,china,,-0.23021082150744543,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1958-08-01,china,,-0.22871054518200204,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1958-09-01,china,,-0.22723922342087083,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1958-10-01,china,,-0.2257959367015748,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1958-11-01,china,,-0.2243798058714247,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1958-12-01,china,,-1.1313449536371425,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1959-01-01,china,,-1.1164705809349047,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1959-02-01,china,,-1.1021678753100166,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1959-03-01,china,,-1.0884011324718688,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1959-04-01,china,,-1.0751376940599473,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1959-05-01,china,,-1.062347621495245,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1959-06-01,china,,-1.0500034115241874,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1959-07-01,china,,-1.0380797472993044,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1959-08-01,china,,-1.026553279866316,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1959-09-01,china,,-1.0154024357633495,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1959-10-01,china,,-1.0046072471229157,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1959-11-01,china,,-0.9941492012309598,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1959-12-01,china,,-0.6436143578798613,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1960-01-01,china,,-0.6389731668852728,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1960-02-01,china,,-0.6344309540319752,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1960-03-01,china,,-0.6299842505906001,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1960-04-01,china,,-0.6256297556686224,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1960-05-01,china,,-0.6213643259114963,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1960-06-01,china,,-0.6171849659658072,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1960-07-01,china,,-0.6130888196386892,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1960-08-01,china,,-0.6090731616942149,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1960-09-01,china,,-0.6051353902332268,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1960-10-01,china,,-0.6012730196081925,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1960-11-01,china,,-0.5974836738292485,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1960-12-01,china,,-0.033984767303144287,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1961-01-01,china,,-0.03382976080056408,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1961-02-01,china,,-0.033676856113254196,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1961-03-01,china,,-0.033526006167212456,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1961-04-01,china,,-0.03337716535136738,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1961-05-01,china,,-0.03323028945963924,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1961-06-01,china,,-0.033085335635780144,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1961-07-01,china,,-0.03294226232083956,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1961-08-01,china,,-0.03280102920310636,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1961-09-01,china,,-0.03266159717039157,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1961-10-01,china,,-0.032523928264524465,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1961-11-01,china,,-0.032387985637939515,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1961-12-01,china,,3.4399117838969477,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1962-01-01,china,,3.270833182940598,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1962-02-01,china,,3.1244622876296355,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1962-03-01,china,,2.9961326440860723,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1962-04-01,china,,2.8824186637516016,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1962-05-01,china,,2.7807412624249173,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1962-06-01,china,,2.689116603940826,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1962-07-01,china,,2.6059903668323416,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1962-08-01,china,,2.530125131263461,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1962-09-01,china,,2.460521870342215,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1962-10-01,china,,2.3963639753015236,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1962-11-01,china,,2.3369765492082926,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1962-12-01,china,,-0.008635659082750722,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1963-01-01,china,,-0.008603373738053645,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1963-02-01,china,,-0.008571447813475927,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1963-03-01,china,,-0.008539874689326132,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1963-04-01,china,,-0.008508647915351794,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1963-05-01,china,,-0.00847776120520475,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1963-06-01,china,,-0.00844720843112395,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1963-07-01,china,,-0.00841698361882861,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1963-08-01,china,,-0.008387080942611515,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1963-09-01,china,,-0.008357494720620907,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1963-10-01,china,,-0.008328219410326314,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1963-11-01,china,,-0.008299249604156289,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1963-12-01,china,,-1.909036247892199,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1964-01-01,china,,-1.8791779721937556,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1964-02-01,china,,-1.850678248157001,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1964-03-01,china,,-1.823437081707271,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1964-04-01,china,,-1.7973644882974036,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1964-05-01,china,,-1.7723792404454353,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1964-06-01,china,,-1.7484078016388578,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1964-07-01,china,,-1.725383414694397,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1964-08-01,china,,-1.703245318805278,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1964-09-01,china,,-1.6819380743442418,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1964-10-01,china,,-1.6614109783232096,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1964-11-01,china,,-1.6416175564667597,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1964-12-01,china,,-1.2300262333808294,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1965-01-01,china,,-1.220298863890866,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1965-02-01,china,,-1.2107986831497592,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1965-03-01,china,,-1.201516983101986,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1965-04-01,china,,-1.1924455159270972,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1965-05-01,china,,-1.1835764632307137,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1965-06-01,china,,-1.1749024077193202,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1965-07-01,china,,-1.1664163071256273,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1965-08-01,china,,-1.1581114701761799,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1965-09-01,china,,-1.1499815344148248,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1965-10-01,china,,-1.1420204457150065,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1965-11-01,china,,-1.1342224393309797,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1965-12-01,china,,-0.6816706330743885,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1966-01-01,china,,-0.6787357734655094,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1966-02-01,china,,-0.6758384975143126,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1966-03-01,china,,-0.6729780098514717,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1966-04-01,china,,-0.6701535384748826,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1966-05-01,china,,-0.6673643338743549,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1966-06-01,china,,-0.6646096681960489,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1966-07-01,china,,-0.6618888344445393,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1966-08-01,china,,-0.6592011457205199,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1966-09-01,china,,-0.6565459344922862,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1966-10-01,china,,-0.6539225518992372,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1966-11-01,china,,-0.6513303670857494,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1966-12-01,china,,-0.6487687665638674,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1967-01-01,china,,-0.646237153603352,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1967-02-01,china,,-0.643734947647707,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1967-03-01,china,,-0.6412615837548876,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
1967-04-01,china,,-0.6388165120614666,,unknown,unknown,unknown,Growth or inflation score is unavailable.,unknown
