date,value,series_id,country,source,frequency,release_date,ingested_at
1989-01-01,27.4,cpi,china,tushare,monthly,1989-01-01,2026-03-27 22:24:36.331607+00:00
1989-02-01,28.4,cpi,china,tushare,monthly,1989-02-01,2026-03-27 22:24:36.331607+00:00
1989-03-01,27.0,cpi,china,tushare,monthly,1989-03-01,2026-03-27 22:24:36.331607+00:00
1989-04-01,26.6,cpi,china,tushare,monthly,1989-04-01,2026-03-27 22:24:36.331607+00:00
1989-05-01,24.8,cpi,china,tushare,monthly,1989-05-01,2026-03-27 22:24:36.331607+00:00
1989-06-01,22.8,cpi,china,tushare,monthly,1989-06-01,2026-03-27 22:24:36.331607+00:00
1989-07-01,19.4,cpi,china,tushare,monthly,1989-07-01,2026-03-27 22:24:36.331607+00:00
1989-08-01,15.3,cpi,china,tushare,monthly,1989-08-01,2026-03-27 22:24:36.331607+00:00
1989-09-01,11.5,cpi,china,tushare,monthly,1989-09-01,2026-03-27 22:24:36.331607+00:00
1989-10-01,8.6,cpi,china,tushare,monthly,1989-10-01,2026-03-27 22:24:36.331607+00:00
1989-11-01,7.4,cpi,china,tushare,monthly,1989-11-01,2026-03-27 22:24:36.331607+00:00
1989-12-01,6.6,cpi,china,tushare,monthly,1989-12-01,2026-03-27 22:24:36.331607+00:00
1990-01-01,4.3,cpi,china,tushare,monthly,1990-01-01,2026-03-27 22:24:36.331607+00:00
1990-02-01,4.4,cpi,china,tushare,monthly,1990-02-01,2026-03-27 22:24:36.331607+00:00
1990-03-01,3.4,cpi,china,tushare,monthly,1990-03-01,2026-03-27 22:24:36.331607+00:00
1990-04-01,3.2,cpi,china,tushare,monthly,1990-04-01,2026-03-27 22:24:36.331607+00:00
1990-05-01,2.7,cpi,china,tushare,monthly,1990-05-01,2026-03-27 22:24:36.331607+00:00
1990-06-01,1.1,cpi,china,tushare,monthly,1990-06-01,2026-03-27 22:24:36.331607+00:00
1990-07-01,1.1,cpi,china,tushare,monthly,1990-07-01,2026-03-27 22:24:36.331607+00:00
1990-08-01,2.5,cpi,china,tushare,monthly,1990-08-01,2026-03-27 22:24:36.331607+00:00
1990-09-01,2.9,cpi,china,tushare,monthly,1990-09-01,2026-03-27 22:24:36.331607+00:00
1990-10-01,3.1,cpi,china,tushare,monthly,1990-10-01,2026-03-27 22:24:36.331607+00:00
1990-11-01,4.3,cpi,china,tushare,monthly,1990-11-01,2026-03-27 22:24:36.331607+00:00
1990-12-01,3.7,cpi,china,tushare,monthly,1990-12-01,2026-03-27 22:24:36.331607+00:00
1991-01-01,2.2,cpi,china,tushare,monthly,1991-01-01,2026-03-27 22:24:36.331607+00:00
1991-02-01,1.8,cpi,china,tushare,monthly,1991-02-01,2026-03-27 22:24:36.331607+00:00
1991-03-01,1.6,cpi,china,tushare,monthly,1991-03-01,2026-03-27 22:24:36.331607+00:00
1991-04-01,1.3,cpi,china,tushare,monthly,1991-04-01,2026-03-27 22:24:36.331607+00:00
1991-05-01,3.6,cpi,china,tushare,monthly,1991-05-01,2026-03-27 22:24:36.331607+00:00
1991-06-01,4.4,cpi,china,tushare,monthly,1991-06-01,2026-03-27 22:24:36.331607+00:00
1991-07-01,4.7,cpi,china,tushare,monthly,1991-07-01,2026-03-27 22:24:36.331607+00:00
1991-08-01,4.9,cpi,china,tushare,monthly,1991-08-01,2026-03-27 22:24:36.331607+00:00
1991-09-01,4.5,cpi,china,tushare,monthly,1991-09-01,2026-03-27 22:24:36.331607+00:00
1991-10-01,4.8,cpi,china,tushare,monthly,1991-10-01,2026-03-27 22:24:36.331607+00:00
1991-11-01,4.4,cpi,china,tushare,monthly,1991-11-01,2026-03-27 22:24:36.331607+00:00
1991-12-01,4.5,cpi,china,tushare,monthly,1991-12-01,2026-03-27 22:24:36.331607+00:00
1992-01-01,5.5,cpi,china,tushare,monthly,1992-01-01,2026-03-27 22:24:36.331607+00:00
1992-02-01,5.3,cpi,china,tushare,monthly,1992-02-01,2026-03-27 22:24:36.331607+00:00
1992-03-01,5.3,cpi,china,tushare,monthly,1992-03-01,2026-03-27 22:24:36.331607+00:00
1992-04-01,7.1,cpi,china,tushare,monthly,1992-04-01,2026-03-27 22:24:36.331607+00:00
1992-05-01,4.7,cpi,china,tushare,monthly,1992-05-01,2026-03-27 22:24:36.331607+00:00
1992-06-01,4.8,cpi,china,tushare,monthly,1992-06-01,2026-03-27 22:24:36.331607+00:00
1992-07-01,5.2,cpi,china,tushare,monthly,1992-07-01,2026-03-27 22:24:36.331607+00:00
1992-08-01,5.8,cpi,china,tushare,monthly,1992-08-01,2026-03-27 22:24:36.331607+00:00
1992-09-01,7.5,cpi,china,tushare,monthly,1992-09-01,2026-03-27 22:24:36.331607+00:00
1992-10-01,7.9,cpi,china,tushare,monthly,1992-10-01,2026-03-27 22:24:36.331607+00:00
1992-11-01,8.2,cpi,china,tushare,monthly,1992-11-01,2026-03-27 22:24:36.331607+00:00
1992-12-01,8.8,cpi,china,tushare,monthly,1992-12-01,2026-03-27 22:24:36.331607+00:00
1993-01-01,10.3,cpi,china,tushare,monthly,1993-01-01,2026-03-27 22:24:36.331607+00:00
1993-02-01,10.8,cpi,china,tushare,monthly,1993-02-01,2026-03-27 22:24:36.331607+00:00
1993-03-01,12.2,cpi,china,tushare,monthly,1993-03-01,2026-03-27 22:24:36.331607+00:00
1993-04-01,12.6,cpi,china,tushare,monthly,1993-04-01,2026-03-27 22:24:36.331607+00:00
1993-05-01,14.0,cpi,china,tushare,monthly,1993-05-01,2026-03-27 22:24:36.331607+00:00
1993-06-01,15.1,cpi,china,tushare,monthly,1993-06-01,2026-03-27 22:24:36.331607+00:00
1993-07-01,16.2,cpi,china,tushare,monthly,1993-07-01,2026-03-27 22:24:36.331607+00:00
1993-08-01,16.4,cpi,china,tushare,monthly,1993-08-01,2026-03-27 22:24:36.331607+00:00
1993-09-01,15.7,cpi,china,tushare,monthly,1993-09-01,2026-03-27 22:24:36.331607+00:00
1993-10-01,15.9,cpi,china,tushare,monthly,1993-10-01,2026-03-27 22:24:36.331607+00:00
