date,value,series_id,country,source,frequency,release_date,ingested_at
1875-07-01,11.29,shiller_pe_proxy,us,multpl,monthly,1875-07-01,2026-03-23 03:32:54.406941+00:00
1875-08-01,11.24,shiller_pe_proxy,us,multpl,monthly,1875-08-01,2026-03-23 03:32:54.406941+00:00
1875-09-01,11.24,shiller_pe_proxy,us,multpl,monthly,1875-09-01,2026-03-23 03:32:54.406941+00:00
1875-10-01,11.06,shiller_pe_proxy,us,multpl,monthly,1875-10-01,2026-03-23 03:32:54.406941+00:00
1875-11-01,11.34,shiller_pe_proxy,us,multpl,monthly,1875-11-01,2026-03-23 03:32:54.406941+00:00
1875-12-01,11.45,shiller_pe_proxy,us,multpl,monthly,1875-12-01,2026-03-23 03:32:54.406941+00:00
1876-01-01,11.79,shiller_pe_proxy,us,multpl,monthly,1876-01-01,2026-03-23 03:32:54.406941+00:00
1876-02-01,11.96,shiller_pe_proxy,us,multpl,monthly,1876-02-01,2026-03-23 03:32:54.406941+00:00
1876-03-01,11.95,shiller_pe_proxy,us,multpl,monthly,1876-03-01,2026-03-23 03:32:54.406941+00:00
1876-04-01,11.63,shiller_pe_proxy,us,multpl,monthly,1876-04-01,2026-03-23 03:32:54.406941+00:00
1876-05-01,11.63,shiller_pe_proxy,us,multpl,monthly,1876-05-01,2026-03-23 03:32:54.406941+00:00
1876-06-01,11.88,shiller_pe_proxy,us,multpl,monthly,1876-06-01,2026-03-23 03:32:54.406941+00:00
1876-07-01,11.75,shiller_pe_proxy,us,multpl,monthly,1876-07-01,2026-03-23 03:32:54.406941+00:00
1876-08-01,11.18,shiller_pe_proxy,us,multpl,monthly,1876-08-01,2026-03-23 03:32:54.406941+00:00
1876-09-01,10.42,shiller_pe_proxy,us,multpl,monthly,1876-09-01,2026-03-23 03:32:54.406941+00:00
1876-10-01,10.2,shiller_pe_proxy,us,multpl,monthly,1876-10-01,2026-03-23 03:32:54.406941+00:00
1876-11-01,9.94,shiller_pe_proxy,us,multpl,monthly,1876-11-01,2026-03-23 03:32:54.406941+00:00
1876-12-01,9.74,shiller_pe_proxy,us,multpl,monthly,1876-12-01,2026-03-23 03:32:54.406941+00:00
1877-01-01,9.52,shiller_pe_proxy,us,multpl,monthly,1877-01-01,2026-03-23 03:32:54.406941+00:00
1877-02-01,9.23,shiller_pe_proxy,us,multpl,monthly,1877-02-01,2026-03-23 03:32:54.406941+00:00
1877-03-01,9.2,shiller_pe_proxy,us,multpl,monthly,1877-03-01,2026-03-23 03:32:54.406941+00:00
